Адрес	Цена кв.метра в год, руб.	Координаты	Стоимость аренды 100кв.метров в месяц	lat	lng
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Смоленский бульвар, 1/2	74 286 руб. за м² в год	{'lat': 55.7392322, 'lng': 37.5849514}	619050.0	55.7392322	37.5849514
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, 1-й Зачатьевский переулок, 8с1	45 000 руб. за м² в год	{'lat': 55.740632, 'lng': 37.6012429}	375000.0	55.740632	37.6012429
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Остоженка, 14/2	от 13 333 ₽ за м² в год	{'lat': 55.741809, 'lng': 37.5991577}	111108.33333333333	55.741809	37.5991577
Москва, ЦАО, р-н Хамовники, м. Киевская, 1-й Вражский переулок, 4	141 429 руб. за м² в год	{'lat': 55.73989, 'lng': 37.574189}	1178575.0	55.73989	37.574189
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Тимура Фрунзе, 18	24 879 руб. за м² в год	{'lat': 55.735519, 'lng': 37.594238}	207325.0	55.735519	37.594238
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 24С1	120 482 руб. за м² в год	{'lat': 55.7282497, 'lng': 37.58018879999999}	1004016.6666666666	55.7282497	37.58018879999999
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 15С2	67 000 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	558333.3333333334	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, 2-я Фрунзенская улица, 10	от 15 568 ₽ за м² в год	{'lat': 55.724007, 'lng': 37.5825741}	129733.33333333333	55.724007	37.5825741
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 24С1	68 442 руб. за м² в год	{'lat': 55.7282497, 'lng': 37.58018879999999}	570350.0	55.7282497	37.58018879999999
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	49 690 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	414083.3333333333	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К2	43 576 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	363133.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 36	42 010 руб. за м² в год	{'lat': 55.723729, 'lng': 37.5761887}	350083.3333333333	55.723729	37.5761887
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 24С1	98 476 руб. за м² в год	{'lat': 55.7282497, 'lng': 37.58018879999999}	820633.3333333334	55.7282497	37.58018879999999
