Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
5356;514;17;1;1;1;0;Хамовники;LINESTRING (37.556081 55.712207, 37.556358 55.712288);POINT (37.5562 55.7122);myData.biz;55.712207;37.556081;55.712288;37.556358
5357;1543;51;3;4;4;0;Хамовники;LINESTRING (37.556358 55.712288, 37.556913 55.712244);POINT (37.5566 55.7123);myData.biz;55.712288;37.556358;55.712244;37.556913
5358;1543;51;3;4;4;0;Хамовники;LINESTRING (37.556913 55.712244, 37.557184 55.712074);POINT (37.557 55.7122);myData.biz;55.712244;37.556913;55.712074;37.557184
5359;2096;69;4;6;5;0;Хамовники;LINESTRING (37.557184 55.712074, 37.557559 55.712199);POINT (37.5574 55.7121);myData.biz;55.712074;37.557184;55.712199;37.557559
5360;2663;88;5;8;7;1;Хамовники;LINESTRING (37.557559 55.712199, 37.55771 55.712067);POINT (37.5576 55.7121);myData.biz;55.712199;37.557559;55.712067;37.55771
5361;2663;88;5;8;7;1;Хамовники;LINESTRING (37.55771 55.712067, 37.557878 55.712125);POINT (37.5578 55.7121);myData.biz;55.712067;37.55771;55.712125;37.557878
5362;2663;88;5;8;7;1;Хамовники;LINESTRING (37.557878 55.712125, 37.558109 55.712092);POINT (37.558 55.7121);myData.biz;55.712125;37.557878;55.712092;37.558109
5363;10276;342;21;32;29;4;Хамовники;LINESTRING (37.558109 55.712092, 37.558267 55.712185);POINT (37.5582 55.7121);myData.biz;55.712092;37.558109;55.712185;37.558267
5364;10276;342;21;32;29;4;Хамовники;LINESTRING (37.558267 55.712185, 37.557609 55.712572);POINT (37.5579 55.7124);myData.biz;55.712185;37.558267;55.712572;37.557609
5365;10724;357;22;33;30;4;Хамовники;LINESTRING (37.557609 55.712572, 37.557738 55.712644);POINT (37.5577 55.7126);myData.biz;55.712572;37.557609;55.712644;37.557738
5366;10724;357;22;33;30;4;Хамовники;LINESTRING (37.557738 55.712644, 37.55784 55.712675);POINT (37.5578 55.7127);myData.biz;55.712644;37.557738;55.712675;37.55784
5367;10724;357;22;33;30;4;Хамовники;LINESTRING (37.55784 55.712675, 37.557966 55.712666);POINT (37.5579 55.7127);myData.biz;55.712675;37.55784;55.712666;37.557966
5368;10724;357;22;33;30;4;Хамовники;LINESTRING (37.557966 55.712666, 37.55843 55.712395);POINT (37.5582 55.7125);myData.biz;55.712666;37.557966;55.712395;37.55843
5369;10724;357;22;33;30;4;Хамовники;LINESTRING (37.55843 55.712395, 37.558722 55.712243);POINT (37.5586 55.7123);myData.biz;55.712395;37.55843;55.712243;37.558722
5370;10724;357;22;33;30;4;Хамовники;LINESTRING (37.558722 55.712243, 37.558704 55.712199);POINT (37.5587 55.7122);myData.biz;55.712243;37.558722;55.712199;37.558704
5371;10724;357;22;33;30;4;Хамовники;LINESTRING (37.558704 55.712199, 37.559274 55.711847);POINT (37.559 55.712);myData.biz;55.712199;37.558704;55.711847;37.559274
5372;10724;357;22;33;30;4;Хамовники;LINESTRING (37.559274 55.711847, 37.559353 55.711735);POINT (37.5593 55.7118);myData.biz;55.711847;37.559274;55.711735;37.559353
5373;10724;357;22;33;30;4;Хамовники;LINESTRING (37.559353 55.711735, 37.559365 55.711334);POINT (37.5594 55.7115);myData.biz;55.711735;37.559353;55.711334;37.559365
5374;1029;34;2;3;2;0;Хамовники;LINESTRING (37.556176 55.712235, 37.556358 55.712288);POINT (37.5563 55.7123);myData.biz;55.712235;37.556176;55.712288;37.556358
5375;1768;58;3;5;4;0;Хамовники;LINESTRING (37.560601 55.711829, 37.560212 55.711558);POINT (37.5604 55.7117);myData.biz;55.711829;37.560601;55.711558;37.560212
5376;1768;58;3;5;4;0;Хамовники;LINESTRING (37.560212 55.711558, 37.560389 55.711461);POINT (37.5603 55.7115);myData.biz;55.711558;37.560212;55.711461;37.560389
5377;448;14;0;1;1;0;Хамовники;LINESTRING (37.557329 55.71273, 37.557609 55.712572);POINT (37.5575 55.7127);myData.biz;55.71273;37.557329;55.712572;37.557609
5378;15864;528;32;50;44;6;Хамовники;LINESTRING (37.562593 55.714337, 37.562842 55.714038);POINT (37.5627 55.7142);myData.biz;55.714337;37.562593;55.714038;37.562842
5379;15864;528;32;50;44;6;Хамовники;LINESTRING (37.562842 55.714038, 37.562617 55.713879);POINT (37.5627 55.714);myData.biz;55.714038;37.562842;55.713879;37.562617
5380;15864;528;32;50;44;6;Хамовники;LINESTRING (37.562617 55.713879, 37.562472 55.713626);POINT (37.5625 55.7138);myData.biz;55.713879;37.562617;55.713626;37.562472
5381;15864;528;32;50;44;6;Хамовники;LINESTRING (37.562472 55.713626, 37.562307 55.713165);POINT (37.5624 55.7134);myData.biz;55.713626;37.562472;55.713165;37.562307
5382;15864;528;32;50;44;6;Хамовники;LINESTRING (37.562307 55.713165, 37.56213 55.712908);POINT (37.5622 55.713);myData.biz;55.713165;37.562307;55.712908;37.56213
5383;15864;528;32;50;44;6;Хамовники;LINESTRING (37.56213 55.712908, 37.561712 55.712502);POINT (37.5619 55.7127);myData.biz;55.712908;37.56213;55.712502;37.561712
5384;15864;528;32;50;44;6;Хамовники;LINESTRING (37.561712 55.712502, 37.561778 55.712466);POINT (37.5617 55.7125);myData.biz;55.712502;37.561712;55.712466;37.561778
5385;15864;528;32;50;44;6;Хамовники;LINESTRING (37.561778 55.712466, 37.560995 55.7119);POINT (37.5614 55.7122);myData.biz;55.712466;37.561778;55.7119;37.560995
5387;844;28;1;2;2;0;Хамовники;LINESTRING (37.554455 55.712212, 37.554477 55.711899);POINT (37.5545 55.7121);myData.biz;55.712212;37.554455;55.711899;37.554477
5388;844;28;1;2;2;0;Хамовники;LINESTRING (37.554477 55.711899, 37.555747 55.711655);POINT (37.5551 55.7118);myData.biz;55.711899;37.554477;55.711655;37.555747
5389;844;28;1;2;2;0;Хамовники;LINESTRING (37.555747 55.711655, 37.555702 55.71156);POINT (37.5557 55.7116);myData.biz;55.711655;37.555747;55.71156;37.555702
5390;3219;107;6;10;9;1;Хамовники;LINESTRING (37.555702 55.71156, 37.555827 55.711541);POINT (37.5558 55.7116);myData.biz;55.71156;37.555702;55.711541;37.555827
5391;3219;107;6;10;9;1;Хамовники;LINESTRING (37.555827 55.711541, 37.556933 55.711388);POINT (37.5564 55.7115);myData.biz;55.711541;37.555827;55.711388;37.556933
5392;3219;107;6;10;9;1;Хамовники;LINESTRING (37.556933 55.711388, 37.557086 55.711372);POINT (37.557 55.7114);myData.biz;55.711388;37.556933;55.711372;37.557086
5393;3219;107;6;10;9;1;Хамовники;LINESTRING (37.557086 55.711372, 37.557186 55.711363);POINT (37.5571 55.7114);myData.biz;55.711372;37.557086;55.711363;37.557186
5394;3219;107;6;10;9;1;Хамовники;LINESTRING (37.557186 55.711363, 37.558202 55.71129);POINT (37.5577 55.7113);myData.biz;55.711363;37.557186;55.71129;37.558202
5395;3219;107;6;10;9;1;Хамовники;LINESTRING (37.558202 55.71129, 37.558336 55.711283);POINT (37.5583 55.7113);myData.biz;55.71129;37.558202;55.711283;37.558336
5396;3219;107;6;10;9;1;Хамовники;LINESTRING (37.558336 55.711283, 37.558452 55.711278);POINT (37.5584 55.7113);myData.biz;55.711283;37.558336;55.711278;37.558452
5397;3219;107;6;10;9;1;Хамовники;LINESTRING (37.558452 55.711278, 37.559055 55.711256);POINT (37.5588 55.7113);myData.biz;55.711278;37.558452;55.711256;37.559055
5398;3219;107;6;10;9;1;Хамовники;LINESTRING (37.559055 55.711256, 37.560119 55.711247);POINT (37.5596 55.7113);myData.biz;55.711256;37.559055;55.711247;37.560119
5400;567;18;1;1;1;0;Хамовники;LINESTRING (37.557372 55.712137, 37.557559 55.712199);POINT (37.5575 55.7122);myData.biz;55.712137;37.557372;55.712199;37.557559
5401;7613;253;15;24;21;3;Хамовники;LINESTRING (37.55805 55.7121, 37.558109 55.712092);POINT (37.5581 55.7121);myData.biz;55.7121;37.55805;55.712092;37.558109
5402;2375;79;4;7;6;1;Хамовники;LINESTRING (37.552999 55.712246, 37.553019 55.71224);POINT (37.553 55.7122);myData.biz;55.712246;37.552999;55.71224;37.553019
5403;2375;79;4;7;6;1;Хамовники;LINESTRING (37.553019 55.71224, 37.552937 55.712141);POINT (37.553 55.7122);myData.biz;55.71224;37.553019;55.712141;37.552937
5404;2375;79;4;7;6;1;Хамовники;LINESTRING (37.552937 55.712141, 37.553032 55.712113);POINT (37.553 55.7121);myData.biz;55.712141;37.552937;55.712113;37.553032
5405;2375;79;4;7;6;1;Хамовники;LINESTRING (37.553032 55.712113, 37.554247 55.711825);POINT (37.5536 55.712);myData.biz;55.712113;37.553032;55.711825;37.554247
5406;2375;79;4;7;6;1;Хамовники;LINESTRING (37.554247 55.711825, 37.554484 55.711774);POINT (37.5544 55.7118);myData.biz;55.711825;37.554247;55.711774;37.554484
5407;2375;79;4;7;6;1;Хамовники;LINESTRING (37.554484 55.711774, 37.555597 55.711576);POINT (37.555 55.7117);myData.biz;55.711774;37.554484;55.711576;37.555597
5408;2375;79;4;7;6;1;Хамовники;LINESTRING (37.555597 55.711576, 37.555702 55.71156);POINT (37.5556 55.7116);myData.biz;55.711576;37.555597;55.71156;37.555702
5434;16367;545;33;51;46;7;Хамовники;LINESTRING (37.559766 55.710463, 37.558465 55.709496);POINT (37.5591 55.71);myData.biz;55.710463;37.559766;55.709496;37.558465
