Координаты	Название аптеки	lat	lng
{'lat': 55.7309041, 'lng': 37.5788797}	Rigla	55.7309041	37.5788797
{'lat': 55.7292342, 'lng': 37.5799073}	Vasha Pharmacy 1	55.7292342	37.5799073
{'lat': 55.725753, 'lng': 37.5810396}	Apteka 36,6	55.725753	37.5810396
{'lat': 55.725307, 'lng': 37.57861279999999}	Vasha Pharmacy 1	55.725307	37.57861279999999
{'lat': 55.72687699999999, 'lng': 37.579645}	Doktor Stoletov	55.72687699999999	37.579645
{'lat': 55.72637470000001, 'lng': 37.5818659}	Rigla Pharmacy	55.72637470000001	37.5818659
{'lat': 55.725692, 'lng': 37.5835149}	Egida Pharmacy	55.725692	37.5835149
{'lat': 55.72447099999999, 'lng': 37.5793819}	03 pharmacy	55.72447099999999	37.5793819
{'lat': 55.742009, 'lng': 37.568118}	Malvern-Farm	55.742009	37.568118
{'lat': 55.7225744, 'lng': 37.58388710000001}	Pharmacy Rainbow	55.7225744	37.58388710000001
{'lat': 55.7356905, 'lng': 37.5922085}	"Pharmacy ""Evalar"""	55.7356905	37.5922085
{'lat': 55.7362, 'lng': 37.590963}	Pharmacy 36,6	55.7362	37.590963
{'lat': 55.726311, 'lng': 37.5664423}	Apteka	55.726311	37.5664423
{'lat': 55.7274464, 'lng': 37.5612574}	Apteka 36,6	55.7274464	37.5612574
{'lat': 55.731125, 'lng': 37.591372}	Pharmacy № 9	55.731125	37.591372
{'lat': 55.7400417, 'lng': 37.5843955}	Pharmacy number 8	55.7400417	37.5843955
{'lat': 55.723389, 'lng': 37.5653251}	Vasha Pharmacy 1	55.723389	37.5653251
{'lat': 55.722488, 'lng': 37.5837343}	Samson-Pharma Pharmacy Network	55.722488	37.5837343
{'lat': 55.7254146, 'lng': 37.5669425}	Gorzdrav	55.7254146	37.5669425
{'lat': 55.73981449999999, 'lng': 37.57450600000001}	Rigla	55.73981449999999	37.57450600000001
{'lat': 55.74071799999999, 'lng': 37.5805457}	Pharmacy-Optics (Optic Studio)	55.74071799999999	37.5805457
{'lat': 55.7446531, 'lng': 37.5659953}	Apteka 36,6	55.7446531	37.5659953
{'lat': 55.740359, 'lng': 37.5843011}	Gorzdrav	55.740359	37.5843011
{'lat': 55.73792, 'lng': 37.5949091}	Yunifarma	55.73792	37.5949091
{'lat': 55.7479294, 'lng': 37.5869365}	Samson-Pharma	55.7479294	37.5869365
{'lat': 55.7197785, 'lng': 37.5711668}	Asna	55.7197785	37.5711668
{'lat': 55.7275407, 'lng': 37.6089327}	Pharmacy 36,6	55.7275407	37.6089327
{'lat': 55.7369536, 'lng': 37.6320251}	Vek Zhivi Pharmacy	55.7369536	37.6320251
{'lat': 55.7198879, 'lng': 37.5976045}	Metropolitan pharmacy	55.7198879	37.5976045
{'lat': 55.757841, 'lng': 37.62317}	Аптека PHARMACY	55.757841	37.62317
{'lat': 55.727899, 'lng': 37.612663}	KIRSCH PHARMA	55.727899	37.612663
{'lat': 55.7443873, 'lng': 37.6001786}	"Pharmacy ""Sofrino"""	55.7443873	37.6001786
