Identif,MonthlyPeoples,DailyPeoples,HourlyPeoples_08_22,HourlyPeoples_08_10,HourlyPeoples_17_19,HourlyPeoples_22_08,DistrictName,WKT,HeatmapPoint,Author,lat1,lon1,lat2,lon2,CoordinateLan,CoordinateLng,P,RentCost,NormalizeRentCost,NormalizeTraffic,RelativeValue
5356,514,17,1,1,1,0,Хамовники,"LINESTRING (37.556081 55.712207, 37.556358 55.712288)",POINT (37.5562 55.7122),myData.biz,55.712207,37.556081,55.712288,37.556358,55.7122,37.5562,0.0,-1.0,1.0,0.00029849788954591317,0.0
5357,1543,51,3,4,4,0,Хамовники,"LINESTRING (37.556358 55.712288, 37.556913 55.712244)",POINT (37.5566 55.7123),myData.biz,55.712288,37.556358,55.712244,37.556913,55.7123,37.5566,0.0,-1.0,1.0,0.0009331142704193526,0.0
5358,1543,51,3,4,4,0,Хамовники,"LINESTRING (37.556913 55.712244, 37.557184 55.712074)",POINT (37.557 55.7122),myData.biz,55.712244,37.556913,55.712074,37.557184,55.7122,37.557,0.0,-1.0,1.0,0.0009331142704193526,0.0
5359,2096,69,4,6,5,0,Хамовники,"LINESTRING (37.557184 55.712074, 37.557559 55.712199)",POINT (37.5574 55.7121),myData.biz,55.712074,37.557184,55.712199,37.557559,55.7121,37.5574,0.0,-1.0,1.0,0.0012741666111608608,0.0
5360,2663,88,5,8,7,1,Хамовники,"LINESTRING (37.557559 55.712199, 37.55771 55.712067)",POINT (37.5576 55.7121),myData.biz,55.712199,37.557559,55.712067,37.55771,55.7121,37.5576,0.0,-1.0,1.0,0.0016238531883768375,0.0
5361,2663,88,5,8,7,1,Хамовники,"LINESTRING (37.55771 55.712067, 37.557878 55.712125)",POINT (37.5578 55.7121),myData.biz,55.712067,37.55771,55.712125,37.557878,55.7121,37.5578,0.0,-1.0,1.0,0.0016238531883768375,0.0
5362,2663,88,5,8,7,1,Хамовники,"LINESTRING (37.557878 55.712125, 37.558109 55.712092)",POINT (37.558 55.7121),myData.biz,55.712125,37.557878,55.712092,37.558109,55.7121,37.558,0.0,-1.0,1.0,0.0016238531883768375,0.0
5363,10276,342,21,32,29,4,Хамовники,"LINESTRING (37.558109 55.712092, 37.558267 55.712185)",POINT (37.5582 55.7121),myData.biz,55.712092,37.558109,55.712185,37.558267,55.7121,37.5582,0.0,-1.0,1.0,0.0063190276369574925,0.0
5364,10276,342,21,32,29,4,Хамовники,"LINESTRING (37.558267 55.712185, 37.557609 55.712572)",POINT (37.5579 55.7124),myData.biz,55.712185,37.558267,55.712572,37.557609,55.7124,37.5579,0.0,-1.0,1.0,0.0063190276369574925,0.0
5365,10724,357,22,33,30,4,Хамовники,"LINESTRING (37.557609 55.712572, 37.557738 55.712644)",POINT (37.5577 55.7126),myData.biz,55.712572,37.557609,55.712644,37.557738,55.7126,37.5577,0.0,-1.0,1.0,0.006595323204140487,0.0
5366,10724,357,22,33,30,4,Хамовники,"LINESTRING (37.557738 55.712644, 37.55784 55.712675)",POINT (37.5578 55.7127),myData.biz,55.712644,37.557738,55.712675,37.55784,55.7127,37.5578,0.0,-1.0,1.0,0.006595323204140487,0.0
5367,10724,357,22,33,30,4,Хамовники,"LINESTRING (37.55784 55.712675, 37.557966 55.712666)",POINT (37.5579 55.7127),myData.biz,55.712675,37.55784,55.712666,37.557966,55.7127,37.5579,0.0,-1.0,1.0,0.006595323204140487,0.0
5368,10724,357,22,33,30,4,Хамовники,"LINESTRING (37.557966 55.712666, 37.55843 55.712395)",POINT (37.5582 55.7125),myData.biz,55.712666,37.557966,55.712395,37.55843,55.7125,37.5582,0.0,-1.0,1.0,0.006595323204140487,0.0
5369,10724,357,22,33,30,4,Хамовники,"LINESTRING (37.55843 55.712395, 37.558722 55.712243)",POINT (37.5586 55.7123),myData.biz,55.712395,37.55843,55.712243,37.558722,55.7123,37.5586,0.0,-1.0,1.0,0.006595323204140487,0.0
